ley,FE,CU,ZN,MO,SC
22.27324,11075.04,18398.8,102.1293,1314.782,3534.696
23.97,13526,23203.79,112.9018,2355.135,3273.829
25.22,14087.81,24246.24,142.1812,1531.787,3296.62
25.26804,13801.33,23159.76,141.4027,1495.568,2705.866
26.37292,15519.97,25452.69,132.5164,1304.755,2630.994
24.57048,14051.74,22756.44,137.8955,1768.496,2684.539
25.328202,11933.9,20871.23,174.0707,1576.43,2876.926
24.972345,9771.747,18151.68,96.17713,1253.868,3061.248
25.4694,12862.05,21573.72,92.06234,675.3578,2906.108
26.91766,11234.99,20827.04,103.3732,631.4391,3101.093
23.27204,11791.43,18532.33,114.8886,803.5664,3063.685
23.46,13570.49,21620.45,167.8077,1077.959,2912.289
24.22,12518.97,19703.6,143.6668,1400.277,3017.21
24.37,14970.15,22950.86,123.8667,803.032,2891.48
23.82,13215.81,20729.5,114.1694,777.116,3005.814
26.11862,12621.67,21805.47,115.3316,670.6416,3124.153
25.4694,13119.76,21285.62,102.2062,527.4965,3070.604
23.68,9958.057,16676.69,110.376,620.1869,3342.513
24.98,13010.7,20987.66,118.1975,772.8445,3085.965
24.78,12743.4,20528.66,115.5443,728.702,3137.903
21.25,10293.55,16482.4,110.2487,919.6404,3304.847
20.08,13581.54,20154.25,106.0047,2347.015,2959.246
22.07,11849.84,18767.64,111.6249,1649.371,3142.328
23.77144,14271.7,22746.06,126.8195,1663.504,2985.732
25.76896,9667.49,17798.27,101.8268,1327.752,3404.687
24.27,11314.92,18877.38,115.3548,700.496,3297.966
22.66,12956.85,19145.52,126.0073,668.0594,3133.96
22.821,11793.94,20051.96,154.2887,2804.556,3111.175
24.42405,8379.811,16434.96,95.12965,1380.396,3527.3
22.1885,14284.72,20673.98,111.2366,771.3985,3001.03
24.03,12485.97,19631.25,124.3839,1217.509,3181.593
20.5,8224.902,16001.24,126.6309,1320.887,3548.285
20.04925,9934.385,15633.72,130.1248,1038.16,3368.511
22.7976,7664.672,13846.69,142.9436,788.492,3638.273
27.35712,10865.17,21014.7,114.1166,1421.984,3354.39
26.96064,10683.67,20599.71,108.2421,784.6151,3386.598
21.3108,7619.373,13132.41,109.8549,664.56,3634.696
21.49,10110.09,16387.02,155.3292,1335.25,3399.76
24.3775,9330.157,16324.7,138.7313,662.9001,3521.423
22.288,11443.16,17525.59,131.4107,713.9934,3274.734
21.44225,9238.021,14854.97,144.7251,1004.562,3486.698
25.273,10631.45,19712.19,127.8324,1667.167,3380.047
25.01994,10889.5,19958.2,125.9214,1306.749,3343.177
20.78,12577.9,20866.67,93.22349,1555.959,3120.766
23.67156,10663.66,18176.67,87.07597,1043.521,3345.868
25.52175,12052.35,21301.18,97.05146,1727.265,3227.163
22.39,13220.93,20364.06,100.4147,822.4221,3157.28
25.67,7504.693,14426.9,101.268,622.6919,3692.635
